PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38811727","The complete sequence and comparative analysis of ape sex chromosomes","Makova KD, Pickett BD, Harris RS, Hartley GA, Cechova M, Pal K, Nurk S, Yoo D, Li Q, Hebbar P, McGrath BC, Antonacci F, Aubel M, Biddanda A, Borchers M, Bornberg-Bauer E, Bouffard GG, Brooks SY, Carbone L, Carrel L, Carroll A, Chang PC, Chin CS, Cook DE, Craig SJC, de Gennaro L, Diekhans M, Dutra A, Garcia GH, Grady PGS, Green RE, Haddad D, Hallast P, Harvey WT, Hickey G, Hillis DA, Hoyt SJ, Jeong H, Kamali K, Pond SLK, LaPolice TM, Lee C, Lewis AP, Loh YE, Masterson P, McGarvey KM, McCoy RC, Medvedev P, Miga KH, Munson KM, Pak E, Paten B, Pinto BJ, Potapova T, Rhie A, Rocha JL, Ryabov F, Ryder OA, Sacco S, Shafin K, Shepelev VA, Slon V, Solar SJ, Storer JM, Sudmant PH, Sweetalana, Sweeten A, Tassia MG, Thibaud-Nissen F, Ventura M, Wilson MA, Young AC, Zeng H, Zhang X, Szpiech ZA, Huber CD, Gerton JL, Yi SV, Schatz MC, Alexandrov IA, Koren S, O'Neill RJ, Eichler EE, Phillippy AM.","Nature. 2024 Jun;630(8016):401-411. doi: 10.1038/s41586-024-07473-2. Epub 2024 May 29.","Makova KD","Nature","2024","2024/05/29","PMC11168930",',"10.1038/s41586-024-07473-2"
"38422184","Vocal learning-associated convergent evolution in mammalian proteins and regulatory elements","Wirthlin ME, Schmid TA, Elie JE, Zhang X, Kowalczyk A, Redlich R, Shvareva VA, Rakuljic A, Ji MB, Bhat NS, Kaplow IM, Schäffer DE, Lawler AJ, Wang AZ, Phan BN, Annaldasula S, Brown AR, Lu T, Lim BK, Azim E; Zoonomia Consortium; Clark NL, Meyer WK, Pond SLK, Chikina M, Yartsev MM, Pfenning AR, Andrews G, Armstrong JC, Bianchi M, Birren BW, Bredemeyer KR, Breit AM, Christmas MJ, Clawson H, Damas J, Di Palma F, Diekhans M, Dong MX, Eizirik E, Fan K, Fanter C, Foley NM, Forsberg-Nilsson K, Garcia CJ, Gatesy J, Gazal S, Genereux DP, Goodman L, Grimshaw J, Halsey MK, Harris AJ, Hickey G, Hiller M, Hindle AG, Hubley RM, Hughes GM, Johnson J, Juan D, Kaplow IM, Karlsson EK, Keough KC, Kirilenko B, Koepfli KP, Korstian JM, Kowalczyk A, Kozyrev SV, Lawler AJ, Lawless C, Lehmann T, Levesque DL, Lewin HA, Li X, Lind A, Lindblad-Toh K, Mackay-Smith A, Marinescu VD, Marques-Bonet T, Mason VC, Meadows JRS, Meyer WK, Moore JE, Moreira LR, Moreno-Santillan DD, Morrill KM, Muntané G, Murphy WJ, Navarro A, Nweeia M, Ortmann S, Osmanski A, Paten B, Paulat NS, Pfenning AR, Phan BN, Pollard KS, Pratt HE, Ray DA, Reilly SK, Rosen JR, et al.","Science. 2024 Mar 29;383(6690):eabn3263. doi: 10.1126/science.abn3263. Epub 2024 Mar 29.","Wirthlin ME","Science","2024","2024/02/29","PMC11313673","NIHMS2006352","10.1126/science.abn3263"
"29168807","Lorenzo-Redondo et al. reply","Lorenzo-Redondo R, Fryer HR, Bedford T, Kim EY, Archer J, Pond SLK, Chung YS, Penugonda S, Chipman JG, Fletcher CV, Schacker TW, Malim MH, Rambaut A, Haase AT, McLean AR, Wolinsky SM.","Nature. 2017 Nov 22;551(7681):E10. doi: 10.1038/nature24635.","Lorenzo-Redondo R","Nature","2017","2017/11/24","PMC10851914","NIHMS1958757","10.1038/nature24635"
"38600104","The genomic evolutionary dynamics and global circulation patterns of respiratory syncytial virus","Langedijk AC, Vrancken B, Lebbink RJ, Wilkins D, Kelly EJ, Baraldi E, Mascareñas de Los Santos AH, Danilenko DM, Choi EH, Palomino MA, Chi H, Keller C, Cohen R, Papenburg J, Pernica J, Greenough A, Richmond P, Martinón-Torres F, Heikkinen T, Stein RT, Hosoya M, Nunes MC, Verwey C, Evers A, Kragten-Tabatabaie L, Suchard MA, Kosakovsky Pond SL, Poletto C, Colizza V, Lemey P, Bont LJ; INFORM-RSV Study Group.","Nat Commun. 2024 Apr 10;15(1):3083. doi: 10.1038/s41467-024-47118-6.","Langedijk AC","Nat Commun","2024","2024/04/10","PMC11006891",',"10.1038/s41467-024-47118-6"
"37875683","Anti-COVID drug accelerates viral evolution","Kosakovsky Pond SL, Martin D.","Nature. 2023 Nov;623(7987):486-487. doi: 10.1038/d41586-023-03248-3.","Kosakovsky Pond SL","Nature","2023","2023/10/24",',',"10.1038/d41586-023-03248-3"
"39229076","Enhanced Diversifying Selection on Polymerase Genes in H5N1 Clade 2.3.4.4b: A Key Driver of Altered Species Tropism and Host Range Expansion","Misra S, Gilbride E, Ramasamy S, Pond SLK, Kuchipudi SV.","bioRxiv [Preprint]. 2024 Aug 19:2024.08.19.606826. doi: 10.1101/2024.08.19.606826.","Misra S","bioRxiv","2024","2024/09/04","PMC11370473",',"10.1101/2024.08.19.606826"
"35296465","Waiting for the truth: is reluctance in accepting an early origin hypothesis for SARS-CoV-2 delaying our understanding of viral emergence?","Canuti M, Bianchi S, Kolbl O, Pond SLK, Kumar S, Gori M, Fappani C, Colzani D, Borghi E, Zuccotti G, Raviglione MC, Tanzi E, Amendola A.","BMJ Glob Health. 2022 Mar;7(3):e008386. doi: 10.1136/bmjgh-2021-008386.","Canuti M","BMJ Glob Health","2022","2022/03/17","PMC8927931",',"10.1136/bmjgh-2021-008386"
"21873298","Statistics and truth in phylogenomics","Kumar S, Filipski AJ, Battistuzzi FU, Kosakovsky Pond SL, Tamura K.","Mol Biol Evol. 2012 Feb;29(2):457-72. doi: 10.1093/molbev/msr202. Epub 2011 Aug 26.","Kumar S","Mol Biol Evol","2012","2011/08/30","PMC3258035",',"10.1093/molbev/msr202"
"25701167","Gene-wide identification of episodic selection","Murrell B, Weaver S, Smith MD, Wertheim JO, Murrell S, Aylward A, Eren K, Pollner T, Martin DP, Smith DM, Scheffler K, Kosakovsky Pond SL.","Mol Biol Evol. 2015 May;32(5):1365-71. doi: 10.1093/molbev/msv035. Epub 2015 Feb 19.","Murrell B","Mol Biol Evol","2015","2015/02/22","PMC4408417",',"10.1093/molbev/msv035"
"39975202","HIV-1 Rebound Virus Consists of a Small Number of Lineages That Entered the Reservoir Close to ART Initiation","Tyers L, Moeser M, Ntuli J, Council O, Zhou S, Spielvogel E, Sondgeroth A, Adams C, Thebus R, Yssel A, Karim SA, Garrett N, Pond SK, Williamson C, Swanstrom R, Abrahams MR, Joseph SB.","bioRxiv [Preprint]. 2025 Jan 31:2025.01.29.635391. doi: 10.1101/2025.01.29.635391.","Tyers L","bioRxiv","2025","2025/02/20","PMC11838395",',"10.1101/2025.01.29.635391"
